"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-3.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cdn --output /root/tf/dstat.csv",,,,"Date:","16 Oct 2018 20:22:41 CDT"

"system","swap",,"total cpu usage",,,,,,"dsk/total",,"net/total",
"time","used","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
16-10 20:22:41,0.0,3221221376.0,0.021,0.007,99.971,0.000,0.0,0.000,444.432,35224.607,0.0,0.0
16-10 20:22:42,0.0,3221221376.0,3.223,3.722,93.055,0.0,0.0,0.0,0.0,0.0,7806.0,334.0
16-10 20:22:43,0.0,3221221376.0,1.850,0.900,97.251,0.0,0.0,0.0,0.0,0.0,7854.0,4578.0
16-10 20:22:44,0.0,3221221376.0,0.375,0.125,99.500,0.0,0.0,0.0,0.0,0.0,15438.0,13020.0
16-10 20:22:45,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,7326.0,182.0
16-10 20:22:46,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,86016.0,6966.0,182.0
16-10 20:22:47,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,7806.0,182.0
16-10 20:22:48,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7746.0,182.0
16-10 20:22:49,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7686.0,182.0
16-10 20:22:50,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,8466.0,182.0
16-10 20:22:51,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,8766.0,182.0
16-10 20:22:52,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,8286.0,182.0
16-10 20:22:53,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,9006.0,182.0
16-10 20:22:54,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,8646.0,182.0
16-10 20:22:55,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,8466.0,182.0
16-10 20:22:56,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,69632.0,8106.0,182.0
16-10 20:22:57,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,7386.0,182.0
16-10 20:22:58,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,12288.0,7686.0,182.0
16-10 20:22:59,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7026.0,182.0
16-10 20:23:00,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7086.0,182.0
16-10 20:23:01,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6306.0,182.0
16-10 20:23:02,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6786.0,182.0
16-10 20:23:03,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,6606.0,182.0
16-10 20:23:04,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,6546.0,182.0
16-10 20:23:05,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7086.0,182.0
16-10 20:23:06,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6546.0,182.0
16-10 20:23:07,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6426.0,236.0
16-10 20:23:08,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,6006.0,182.0
16-10 20:23:09,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7086.0,182.0
16-10 20:23:10,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,7266.0,182.0
16-10 20:23:11,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7626.0,182.0
16-10 20:23:12,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,7446.0,182.0
16-10 20:23:13,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7206.0,182.0
16-10 20:23:14,0.0,3221221376.0,1.718,1.369,96.913,0.0,0.0,0.0,0.0,0.0,158697.0,117577.0
16-10 20:23:15,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,6858.0,248.0
