"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-1.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cdn --output /root/tf/dstat.csv",,,,"Date:","16 Oct 2018 20:22:39 CDT"

"system","swap",,"total cpu usage",,,,,,"dsk/total",,"net/total",
"time","used","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
16-10 20:22:39,0.0,3221221376.0,0.083,0.018,99.899,0.000,0.0,0.000,3468.577,35398.658,0.0,0.0
16-10 20:22:40,0.0,3221221376.0,3.447,4.771,91.781,0.0,0.0,0.0,0.0,0.0,7626.0,334.0
16-10 20:22:41,0.0,3221221376.0,1.750,0.950,97.299,0.0,0.0,0.0,0.0,0.0,7914.0,4680.0
16-10 20:22:42,0.0,3221221376.0,0.425,0.075,99.500,0.0,0.0,0.0,0.0,0.0,15483.0,13204.0
16-10 20:22:43,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7326.0,236.0
16-10 20:22:44,0.0,3221221376.0,0.025,0.0,99.975,0.0,0.0,0.0,0.0,53248.0,7086.0,182.0
16-10 20:22:45,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7746.0,182.0
16-10 20:22:46,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,7926.0,182.0
16-10 20:22:47,0.0,3221221376.0,0.025,0.025,99.950,0.0,0.0,0.0,0.0,0.0,7626.0,182.0
16-10 20:22:48,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,8466.0,182.0
16-10 20:22:49,0.0,3221221376.0,0.025,0.0,99.975,0.0,0.0,0.0,0.0,0.0,8826.0,182.0
16-10 20:22:50,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,8406.0,182.0
16-10 20:22:51,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,57344.0,8706.0,182.0
16-10 20:22:52,0.0,3221221376.0,0.025,0.0,99.975,0.0,0.0,0.0,0.0,0.0,8586.0,182.0
16-10 20:22:53,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,8466.0,182.0
16-10 20:22:54,0.0,3221221376.0,0.025,0.0,99.975,0.0,0.0,0.0,0.0,0.0,8346.0,182.0
16-10 20:22:55,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,7386.0,182.0
16-10 20:22:56,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,12288.0,7686.0,182.0
16-10 20:22:57,0.0,3221221376.0,0.025,0.025,99.950,0.0,0.0,0.0,0.0,0.0,7026.0,182.0
16-10 20:22:58,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,7086.0,182.0
16-10 20:22:59,0.0,3221221376.0,0.025,0.025,99.950,0.0,0.0,0.0,0.0,0.0,6186.0,182.0
16-10 20:23:00,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6846.0,182.0
16-10 20:23:01,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,6426.0,182.0
16-10 20:23:02,0.0,3221221376.0,0.025,0.0,99.975,0.0,0.0,0.0,0.0,12288.0,6726.0,182.0
16-10 20:23:03,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6786.0,182.0
16-10 20:23:04,0.0,3221221376.0,0.025,0.025,99.950,0.0,0.0,0.0,0.0,0.0,6786.0,182.0
16-10 20:23:05,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6486.0,182.0
16-10 20:23:06,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,5826.0,182.0
16-10 20:23:07,0.0,3221221376.0,0.025,0.025,99.950,0.0,0.0,0.0,0.0,0.0,7146.0,182.0
16-10 20:23:08,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,7266.0,182.0
16-10 20:23:09,0.0,3221221376.0,0.025,0.025,99.950,0.0,0.0,0.0,0.0,0.0,7686.0,182.0
16-10 20:23:10,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,7386.0,182.0
16-10 20:23:11,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,7206.0,182.0
16-10 20:23:12,0.0,3221221376.0,2.023,1.074,96.902,0.0,0.0,0.0,0.0,0.0,158554.0,117550.0
