"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-3.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cnm --output /root/tf/dstat.csv",,,,"Date:","17 Oct 2018 22:29:16 CDT"

"system","swap",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","used","free","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
17-10 22:29:16,0.0,3221221376.0,0.059,0.013,99.928,0.000,0.0,0.000,0.0,0.0,1064103936.0,163573760.0,966320128.0,1.99076298752e+11
17-10 22:29:17,0.0,3221221376.0,2.376,3.226,94.399,0.0,0.0,0.0,4938.0,1622.0,1148895232.0,163573760.0,966410240.0,1.98991417344e+11
17-10 22:29:18,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,4686.0,190.0,1151131648.0,163573760.0,966410240.0,1.98989180928e+11
17-10 22:29:19,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,5466.0,190.0,1150222336.0,163573760.0,966410240.0,1.9899009024e+11
17-10 22:29:20,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,7483.0,1045.0,1148923904.0,163573760.0,966410240.0,1.98991388672e+11
17-10 22:29:21,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,7566.0,190.0,1149067264.0,163573760.0,966410240.0,1.98991245312e+11
17-10 22:29:22,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,7986.0,190.0,1148846080.0,163573760.0,966410240.0,1.98991466496e+11
17-10 22:29:23,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,8706.0,244.0,1148604416.0,163573760.0,966410240.0,1.9899170816e+11
17-10 22:29:24,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,7566.0,190.0,1148477440.0,163573760.0,966410240.0,1.98991835136e+11
17-10 22:29:25,0.0,3221221376.0,0.250,0.325,99.425,0.0,0.0,0.0,47679859.0,103285.0,1207369728.0,163573760.0,966410240.0,1.98932942848e+11
17-10 22:29:26,0.0,3221221376.0,0.452,1.055,98.368,0.0,0.0,0.126,227479320.0,307897.0,1455288320.0,163573760.0,966410240.0,1.98685024256e+11
17-10 22:29:27,0.0,3221221376.0,52.547,7.616,39.812,0.0,0.0,0.025,85775994.0,6477586.0,2772123648.0,163573760.0,966410240.0,1.97368188928e+11
17-10 22:29:28,0.0,3221221376.0,50.732,8.451,40.767,0.0,0.0,0.050,183172.0,245167281.0,1770307584.0,163577856.0,966410240.0,1.98370000896e+11
17-10 22:29:29,0.0,3221221376.0,30.982,5.693,63.325,0.0,0.0,0.0,8382.0,4068423.0,1581199360.0,163577856.0,966410240.0,1.9855910912e+11
17-10 22:29:30,0.0,3221221376.0,6.677,1.205,92.118,0.0,0.0,0.0,6742.0,97790.0,1327067136.0,163577856.0,966410240.0,1.98813241344e+11
17-10 22:29:31,0.0,3221221376.0,0.578,1.156,98.140,0.0,0.0,0.126,255566501.0,329331.0,1580011520.0,163577856.0,966410240.0,1.9856029696e+11
17-10 22:29:32,0.0,3221221376.0,21.346,3.303,75.325,0.0,0.0,0.025,105258259.0,167207.0,2041974784.0,163577856.0,966410240.0,1.98098333696e+11
17-10 22:29:33,0.0,3221221376.0,70.206,7.154,22.590,0.0,0.0,0.050,174192.0,247720802.0,2112892928.0,163577856.0,966410240.0,1.98027415552e+11
17-10 22:29:34,0.0,3221221376.0,39.474,1.302,59.224,0.0,0.0,0.0,9456.0,6486164.0,1841295360.0,163581952.0,966410240.0,1.98299009024e+11
17-10 22:29:35,0.0,3221221376.0,13.617,2.603,83.755,0.0,0.0,0.025,104679424.0,1560830.0,1499860992.0,163581952.0,966410240.0,1.98640443392e+11
17-10 22:29:36,0.0,3221221376.0,0.602,0.952,98.271,0.0,0.0,0.175,213920186.0,288453.0,1712549888.0,163581952.0,966410240.0,1.98427754496e+11
17-10 22:29:37,0.0,3221221376.0,60.601,10.853,28.470,0.025,0.0,0.050,42241955.0,22773546.0,2719518720.0,163581952.0,966410240.0,1.97420785664e+11
17-10 22:29:38,0.0,3221221376.0,51.144,2.822,46.009,0.025,0.0,0.0,188010.0,231500660.0,1901699072.0,163581952.0,966410240.0,1.98238605312e+11
17-10 22:29:39,0.0,3221221376.0,30.254,2.392,67.354,0.0,0.0,0.0,7686.0,1285481.0,1691242496.0,163581952.0,966410240.0,1.98449061888e+11
17-10 22:29:40,0.0,3221221376.0,0.754,1.383,97.712,0.0,0.0,0.151,255565928.0,481857.0,1734008832.0,163590144.0,966410240.0,1.9840628736e+11
17-10 22:29:41,0.0,3221221376.0,11.416,3.972,84.487,0.0,0.0,0.125,105258577.0,146436.0,2131238912.0,163590144.0,966410240.0,1.9800905728e+11
17-10 22:29:42,0.0,3221221376.0,67.312,25.754,6.859,0.0,0.0,0.075,63199.0,72857138.0,2528632832.0,163590144.0,966410240.0,1.9761166336e+11
17-10 22:29:43,0.0,3221221376.0,48.981,2.492,48.528,0.0,0.0,0.0,140648.0,181351170.0,1954447360.0,163590144.0,966414336.0,1.98185844736e+11
17-10 22:29:44,0.0,3221221376.0,19.276,2.047,78.652,0.0,0.0,0.025,35282002.0,1450584.0,1518301184.0,163590144.0,966414336.0,1.98621990912e+11
17-10 22:29:45,0.0,3221221376.0,0.577,0.953,98.396,0.0,0.0,0.075,220292989.0,298330.0,1750515712.0,163590144.0,966414336.0,1.98389776384e+11
17-10 22:29:46,0.0,3221221376.0,45.238,4.737,49.950,0.0,0.0,0.075,105258596.0,160782.0,2351865856.0,163598336.0,966414336.0,1.97788418048e+11
17-10 22:29:47,0.0,3221221376.0,57.723,5.416,36.810,0.0,0.0,0.050,163048.0,251429040.0,2031935488.0,163598336.0,966414336.0,1.98108348416e+11
17-10 22:29:48,0.0,3221221376.0,32.032,2.719,65.250,0.0,0.0,0.0,9270.0,4068487.0,1807618048.0,163598336.0,966414336.0,1.98332665856e+11
17-10 22:29:49,0.0,3221221376.0,9.224,2.545,88.105,0.0,0.0,0.126,194479410.0,375974.0,1742761984.0,163598336.0,966414336.0,1.9839752192e+11
17-10 22:29:50,0.0,3221221376.0,0.301,0.902,98.747,0.0,0.0,0.050,166347182.0,198887.0,1982697472.0,163598336.0,966414336.0,1.98157586432e+11
17-10 22:29:51,0.0,3221221376.0,74.256,9.332,16.362,0.0,0.0,0.050,61197.0,82796451.0,2478878720.0,163602432.0,966414336.0,1.97661401088e+11
17-10 22:29:52,0.0,3221221376.0,49.208,3.117,47.650,0.0,0.0,0.025,154502.0,171449535.0,2051080192.0,163602432.0,966414336.0,1.98089199616e+11
17-10 22:29:53,0.0,3221221376.0,19.396,2.189,78.415,0.0,0.0,0.0,7908.0,1382878.0,1578536960.0,163602432.0,966414336.0,1.98561742848e+11
17-10 22:29:54,0.0,3221221376.0,0.678,1.382,97.814,0.0,0.0,0.126,255565506.0,423965.0,1849327616.0,163602432.0,966414336.0,1.98290952192e+11
17-10 22:29:55,0.0,3221221376.0,21.644,3.947,74.359,0.0,0.0,0.050,105256956.0,139049.0,2296836096.0,163602432.0,966414336.0,1.97843443712e+11
