"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-3.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cdn --output /root/tf/dstat.csv",,,,"Date:","16 Oct 2018 21:31:47 CDT"

"system","swap",,"total cpu usage",,,,,,"dsk/total",,"net/total",
"time","used","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
16-10 21:31:47,0.0,3221221376.0,0.037,0.009,99.954,0.000,0.0,0.000,440.359,34918.970,0.0,0.0
16-10 21:31:48,0.0,3221221376.0,2.227,3.227,94.546,0.0,0.0,0.0,0.0,0.0,6324.0,1692.0
16-10 21:31:49,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,6066.0,182.0
16-10 21:31:50,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,6606.0,182.0
16-10 21:31:51,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7326.0,224.0
16-10 21:31:52,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,81920.0,8595.0,855.0
16-10 21:31:53,0.0,3221221376.0,0.0,0.0,99.975,0.0,0.0,0.025,0.0,0.0,7821.0,298.0
16-10 21:31:54,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7626.0,182.0
16-10 21:31:55,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6906.0,182.0
16-10 21:31:56,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,6666.0,182.0
16-10 21:31:57,0.0,3221221376.0,0.125,0.050,99.825,0.0,0.0,0.0,0.0,0.0,95765.0,16603.0
16-10 21:31:58,0.0,3221221376.0,0.452,1.104,98.369,0.0,0.0,0.075,0.0,12288.0,255564652.0,349383.0
16-10 21:31:59,0.0,3221221376.0,39.768,4.971,55.160,0.0,0.0,0.101,0.0,0.0,105258721.0,119229.0
16-10 21:32:00,0.0,3221221376.0,55.004,8.658,36.287,0.051,0.0,0.0,0.0,0.0,235485.0,251803508.0
16-10 21:32:01,0.0,3221221376.0,36.958,5.711,57.307,0.0,0.0,0.025,0.0,0.0,8730.0,4067841.0
16-10 21:32:02,0.0,3221221376.0,11.475,1.837,86.688,0.0,0.0,0.0,0.0,0.0,7941.0,98164.0
16-10 21:32:03,0.0,3221221376.0,0.176,1.131,98.617,0.0,0.0,0.075,0.0,0.0,241754296.0,408800.0
16-10 21:32:04,0.0,3221221376.0,4.984,1.803,93.163,0.0,0.0,0.050,0.0,12288.0,119071666.0,186058.0
16-10 21:32:05,0.0,3221221376.0,72.186,9.230,18.509,0.025,0.0,0.050,0.0,0.0,112764.0,103604105.0
16-10 21:32:06,0.0,3221221376.0,48.920,2.483,48.572,0.0,0.0,0.025,0.0,0.0,119310.0,151587409.0
16-10 21:32:07,0.0,3221221376.0,17.047,2.664,80.264,0.0,0.0,0.025,0.0,0.0,45864993.0,1439106.0
16-10 21:32:08,0.0,3221221376.0,0.477,1.154,98.294,0.0,0.0,0.075,0.0,0.0,209708515.0,376788.0
16-10 21:32:09,0.0,3221221376.0,34.868,5.283,59.849,0.0,0.0,0.0,0.0,0.0,105258259.0,166059.0
16-10 21:32:10,0.0,3221221376.0,60.035,16.101,23.739,0.050,0.0,0.075,0.0,12288.0,221397.0,247721435.0
16-10 21:32:11,0.0,3221221376.0,34.875,1.834,63.291,0.0,0.0,0.0,0.0,0.0,8718.0,6485906.0
16-10 21:32:12,0.0,3221221376.0,14.161,3.047,82.717,0.0,0.0,0.075,0.0,0.0,146920230.0,1616896.0
16-10 21:32:13,0.0,3221221376.0,0.576,1.128,98.095,0.0,0.0,0.201,0.0,0.0,213907117.0,318824.0
16-10 21:32:14,0.0,3221221376.0,71.110,8.692,20.172,0.0,0.0,0.025,0.0,0.0,37981.0,63993142.0
16-10 21:32:15,0.0,3221221376.0,49.760,2.378,47.837,0.0,0.0,0.025,0.0,0.0,145264.0,190297847.0
16-10 21:32:16,0.0,3221221376.0,21.177,2.694,76.129,0.0,0.0,0.0,0.0,12288.0,8730.0,1382870.0
16-10 21:32:17,0.0,3221221376.0,0.601,1.377,97.796,0.0,0.0,0.225,0.0,0.0,255567609.0,359693.0
16-10 21:32:18,0.0,3221221376.0,12.328,3.926,83.721,0.0,0.0,0.025,0.0,0.0,105259078.0,124612.0
16-10 21:32:19,0.0,3221221376.0,74.286,8.007,17.681,0.0,0.0,0.025,0.0,0.0,142873.0,198885151.0
16-10 21:32:20,0.0,3221221376.0,39.863,2.397,57.716,0.0,0.0,0.024,0.0,0.0,56784.0,55322298.0
16-10 21:32:21,0.0,3221221376.0,15.404,1.636,82.935,0.0,0.0,0.025,0.0,12288.0,17481940.0,1426707.0
16-10 21:32:22,0.0,3221221376.0,0.877,1.279,97.769,0.0,0.0,0.075,0.0,4096.0,238094228.0,384150.0
16-10 21:32:23,0.0,3221221376.0,38.928,4.364,56.683,0.0,0.0,0.025,0.0,0.0,105259648.0,164079.0
16-10 21:32:24,0.0,3221221376.0,59.629,5.416,34.880,0.0,0.0,0.075,0.0,0.0,176205.0,251425058.0
16-10 21:32:25,0.0,3221221376.0,36.242,2.002,61.731,0.0,0.0,0.025,0.0,0.0,9306.0,4068223.0
16-10 21:32:26,0.0,3221221376.0,6.884,1.999,90.964,0.0,0.0,0.152,0.0,0.0,217885312.0,404895.0
16-10 21:32:27,0.0,3221221376.0,2.004,1.052,96.869,0.0,0.0,0.075,0.0,49152.0,142941482.0,215085.0
16-10 21:32:28,0.0,3221221376.0,74.492,7.984,17.499,0.0,0.0,0.025,0.0,0.0,85749.0,108207881.0
16-10 21:32:29,0.0,3221221376.0,43.307,2.852,53.765,0.0,0.0,0.075,0.0,0.0,214048.0,145999748.0
16-10 21:32:30,0.0,3221221376.0,24.257,2.896,72.847,0.0,0.0,0.0,0.0,0.0,8328.0,1285473.0
16-10 21:32:31,0.0,3221221376.0,0.477,1.332,98.090,0.0,0.0,0.101,0.0,0.0,255567874.0,508168.0
16-10 21:32:32,0.0,3221221376.0,30.462,5.418,64.045,0.0,0.0,0.075,0.0,28672.0,105259251.0,149012.0
16-10 21:32:33,0.0,3221221376.0,61.839,6.381,31.755,0.0,0.0,0.025,0.0,0.0,219795.0,247824526.0
16-10 21:32:34,0.0,3221221376.0,35.392,7.248,57.335,0.0,0.0,0.025,0.0,0.0,11418.0,7769962.0
16-10 21:32:35,0.0,3221221376.0,12.772,2.833,84.294,0.0,0.0,0.101,0.0,0.0,105928470.0,273599.0
16-10 21:32:36,0.0,3221221376.0,0.326,1.080,98.443,0.0,0.0,0.151,0.0,0.0,200670527.0,241970.0
16-10 21:32:37,0.0,3221221376.0,55.111,9.517,35.297,0.025,0.0,0.050,0.0,0.0,54239784.0,17266200.0
16-10 21:32:38,0.0,3221221376.0,52.812,3.374,43.739,0.025,0.0,0.050,0.0,12288.0,213052.0,237024653.0
16-10 21:32:39,0.0,3221221376.0,31.473,2.237,66.290,0.0,0.0,0.0,0.0,0.0,8892.0,1285473.0
16-10 21:32:40,0.0,3221221376.0,2.006,1.103,96.791,0.0,0.0,0.100,0.0,0.0,246308763.0,454249.0
16-10 21:32:41,0.0,3221221376.0,7.912,1.953,90.085,0.0,0.0,0.050,0.0,0.0,114517481.0,146422.0
16-10 21:32:42,0.0,3221221376.0,64.822,23.035,12.118,0.0,0.0,0.025,0.0,0.0,66008.0,65512931.0
16-10 21:32:43,0.0,3221221376.0,50.364,2.462,47.124,0.0,0.0,0.050,0.0,0.0,131438.0,188697712.0
16-10 21:32:44,0.0,3221221376.0,23.069,2.292,74.639,0.0,0.0,0.0,0.0,12288.0,8922.0,1382870.0
16-10 21:32:45,0.0,3221221376.0,0.802,1.428,97.544,0.0,0.0,0.226,0.0,0.0,255567357.0,377197.0
16-10 21:32:46,0.0,3221221376.0,21.357,3.693,74.874,0.0,0.0,0.075,0.0,0.0,105258634.0,148918.0
16-10 21:32:47,0.0,3221221376.0,69.586,7.168,23.195,0.0,0.0,0.050,0.0,0.0,258151.0,222177013.0
16-10 21:32:48,0.0,3221221376.0,37.832,1.513,60.655,0.0,0.0,0.0,0.0,0.0,52182.0,32087222.0
16-10 21:32:49,0.0,3221221376.0,14.707,2.226,83.042,0.0,0.0,0.025,0.0,0.0,72765007.0,1500160.0
16-10 21:32:50,0.0,3221221376.0,0.776,1.101,97.973,0.0,0.0,0.150,0.0,12288.0,204835993.0,296452.0
16-10 21:32:51,0.0,3221221376.0,45.031,14.443,40.451,0.0,0.0,0.075,0.0,0.0,83231479.0,106862.0
16-10 21:32:52,0.0,3221221376.0,49.962,13.416,36.520,0.0,0.0,0.101,0.0,0.0,215259.0,251428575.0
16-10 21:32:53,0.0,3221221376.0,35.745,2.226,62.029,0.0,0.0,0.0,0.0,0.0,9420.0,4068095.0
16-10 21:32:54,0.0,3221221376.0,10.624,2.856,86.369,0.0,0.0,0.150,0.0,0.0,255565433.0,477449.0
16-10 21:32:55,0.0,3221221376.0,3.150,1.425,95.425,0.0,0.0,0.0,0.0,0.0,105259314.0,136852.0
16-10 21:32:56,0.0,3221221376.0,71.487,9.022,19.466,0.0,0.0,0.025,0.0,12288.0,41061.0,115565470.0
16-10 21:32:57,0.0,3221221376.0,46.716,4.005,49.254,0.0,0.0,0.025,0.0,4096.0,138196.0,139156595.0
16-10 21:32:58,0.0,3221221376.0,21.521,3.092,75.387,0.0,0.0,0.0,0.0,0.0,9816.0,1382870.0
16-10 21:32:59,0.0,3221221376.0,0.577,1.305,97.967,0.0,0.0,0.151,0.0,0.0,255566679.0,359235.0
16-10 21:33:00,0.0,3221221376.0,19.575,3.675,76.650,0.0,0.0,0.100,0.0,0.0,105259747.0,159022.0
16-10 21:33:01,0.0,3221221376.0,70.654,8.866,20.430,0.0,0.0,0.050,0.0,0.0,188568.0,182810256.0
16-10 21:33:02,0.0,3221221376.0,37.666,1.853,60.481,0.0,0.0,0.0,0.0,24576.0,115916.0,71401698.0
16-10 21:33:03,0.0,3221221376.0,14.354,2.119,83.502,0.0,0.0,0.025,0.0,0.0,77755848.0,1522214.0
16-10 21:33:04,0.0,3221221376.0,0.276,0.979,98.694,0.0,0.0,0.050,0.0,0.0,214258903.0,309778.0
16-10 21:33:05,0.0,3221221376.0,48.521,12.528,38.951,0.0,0.0,0.0,0.0,0.0,68820313.0,84860.0
16-10 21:33:06,0.0,3221221376.0,53.065,11.040,35.818,0.0,0.0,0.076,0.0,0.0,146972.0,251429972.0
16-10 21:33:07,0.0,3221221376.0,32.073,2.118,65.809,0.0,0.0,0.0,0.0,0.0,11724.0,4069615.0
16-10 21:33:08,0.0,3221221376.0,10.692,4.226,84.906,0.0,0.0,0.176,0.0,16384.0,215077405.0,455816.0
16-10 21:33:09,0.0,3221221376.0,3.703,1.551,94.696,0.0,0.0,0.050,0.0,0.0,145748331.0,224046.0
16-10 21:33:10,0.0,3221221376.0,70.681,11.568,17.751,0.0,0.0,0.0,0.0,0.0,72788.0,103036072.0
16-10 21:33:11,0.0,3221221376.0,47.541,3.032,49.350,0.0,0.0,0.076,0.0,0.0,181958.0,151177349.0
16-10 21:33:12,0.0,3221221376.0,19.286,2.075,78.638,0.0,0.0,0.0,0.0,0.0,498176.0,1397878.0
16-10 21:33:13,0.0,3221221376.0,0.703,1.305,97.892,0.0,0.0,0.100,0.0,0.0,255079803.0,391518.0
16-10 21:33:14,0.0,3221221376.0,37.494,5.169,57.312,0.0,0.0,0.025,0.0,53248.0,105259271.0,132406.0
16-10 21:33:15,0.0,3221221376.0,58.857,5.312,35.755,0.0,0.0,0.075,0.0,0.0,262682.0,251481002.0
16-10 21:33:16,0.0,3221221376.0,35.641,2.769,61.591,0.0,0.0,0.0,0.0,0.0,10830.0,4067713.0
16-10 21:33:17,0.0,3221221376.0,10.938,2.520,86.492,0.0,0.0,0.050,0.0,0.0,224669532.0,493341.0
16-10 21:33:18,0.0,3221221376.0,2.625,1.100,96.200,0.0,0.0,0.075,0.0,0.0,136157408.0,188338.0
16-10 21:33:19,0.0,3221221376.0,54.534,32.153,13.313,0.0,0.0,0.0,0.0,0.0,8242.0,36413.0
16-10 21:33:20,0.0,3221221376.0,51.809,5.030,43.137,0.0,0.0,0.025,0.0,12288.0,148942.0,251401571.0
16-10 21:33:21,0.0,3221221376.0,28.512,2.302,69.187,0.0,0.0,0.0,0.0,0.0,11106.0,4061698.0
16-10 21:33:22,0.0,3221221376.0,6.832,2.487,90.480,0.0,0.0,0.201,0.0,0.0,255567955.0,463644.0
16-10 21:33:23,0.0,3221221376.0,16.992,2.703,80.280,0.0,0.0,0.025,0.0,0.0,105258365.0,160552.0
16-10 21:33:24,0.0,3221221376.0,72.823,7.462,19.666,0.0,0.0,0.050,0.0,0.0,135422.0,181107759.0
16-10 21:33:25,0.0,3221221376.0,39.686,1.791,58.523,0.0,0.0,0.0,0.0,0.0,84276.0,73107365.0
16-10 21:33:26,0.0,3221221376.0,14.539,1.725,83.735,0.0,0.0,0.0,0.0,12288.0,9107.0,1383122.0
16-10 21:33:27,0.0,3221221376.0,0.850,1.500,97.501,0.0,0.0,0.150,0.0,0.0,255567199.0,353205.0
16-10 21:33:28,0.0,3221221376.0,43.035,4.485,52.479,0.0,0.0,0.0,0.0,0.0,105260165.0,135178.0
16-10 21:33:29,0.0,3221221376.0,56.713,6.023,37.164,0.025,0.0,0.075,0.0,0.0,186296.0,251462435.0
16-10 21:33:30,0.0,3221221376.0,33.325,2.626,64.049,0.0,0.0,0.0,0.0,0.0,11028.0,4068095.0
16-10 21:33:31,0.0,3221221376.0,10.280,2.526,87.093,0.0,0.0,0.101,0.0,0.0,160740724.0,373086.0
16-10 21:33:32,0.0,3221221376.0,0.301,1.028,98.595,0.0,0.0,0.075,0.0,16384.0,189777683.0,297850.0
16-10 21:33:33,0.0,3221221376.0,62.734,8.473,28.768,0.0,0.0,0.025,0.0,0.0,10359169.0,52493029.0
16-10 21:33:34,0.0,3221221376.0,49.097,3.511,47.367,0.0,0.0,0.025,0.0,0.0,246906.0,201736364.0
16-10 21:33:35,0.0,3221221376.0,31.558,2.301,66.142,0.0,0.0,0.0,0.0,0.0,8658.0,1285473.0
16-10 21:33:36,0.0,3221221376.0,0.974,1.524,97.352,0.0,0.0,0.150,0.0,0.0,255566757.0,432234.0
16-10 21:33:37,0.0,3221221376.0,18.168,3.664,78.093,0.0,0.0,0.075,0.0,16384.0,105259025.0,149320.0
16-10 21:33:38,0.0,3221221376.0,71.672,7.088,21.138,0.0,0.0,0.102,0.0,0.0,160370.0,226482537.0
16-10 21:33:39,0.0,3221221376.0,38.586,1.593,59.821,0.0,0.0,0.0,0.0,0.0,23238.0,27733077.0
16-10 21:33:40,0.0,3221221376.0,14.286,2.059,83.630,0.0,0.0,0.025,0.0,0.0,52971492.0,1474547.0
16-10 21:33:41,0.0,3221221376.0,0.528,1.081,98.291,0.0,0.0,0.101,0.0,0.0,210709731.0,286850.0
16-10 21:33:42,0.0,3221221376.0,48.364,8.968,42.668,0.0,0.0,0.0,0.0,32768.0,97160663.0,206366.0
16-10 21:33:43,0.0,3221221376.0,55.641,3.138,41.196,0.0,0.0,0.025,0.0,12288.0,224268.0,251349857.0
16-10 21:33:44,0.0,3221221376.0,33.824,2.222,63.954,0.0,0.0,0.0,0.0,0.0,12180.0,4068223.0
16-10 21:33:45,0.0,3221221376.0,4.452,1.761,93.662,0.0,0.0,0.126,0.0,0.0,221741819.0,461901.0
16-10 21:33:46,0.0,3221221376.0,8.464,2.097,89.413,0.0,0.0,0.025,0.0,0.0,139088907.0,121780.0
16-10 21:33:47,0.0,3221221376.0,67.593,20.370,12.037,0.0,0.0,0.0,0.0,0.0,91954.0,70259391.0
16-10 21:33:48,0.0,3221221376.0,44.892,2.498,52.609,0.0,0.0,0.0,0.0,0.0,177992.0,184008011.0
16-10 21:33:49,0.0,3221221376.0,23.408,2.438,74.154,0.0,0.0,0.0,0.0,12288.0,13527.0,1383122.0
16-10 21:33:50,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,10298.0,368.0
16-10 21:33:51,0.0,3221221376.0,0.025,0.025,99.950,0.0,0.0,0.0,0.0,0.0,10926.0,512.0
