"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-1.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cdn --output /root/tf/dstat.csv",,,,"Date:","16 Oct 2018 21:31:46 CDT"

"system","swap",,"total cpu usage",,,,,,"dsk/total",,"net/total",
"time","used","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
16-10 21:31:46,0.0,3221221376.0,0.098,0.021,99.881,0.000,0.0,0.000,3436.786,35089.153,0.0,0.0
16-10 21:31:47,0.0,3221221376.0,2.424,3.923,93.653,0.0,0.0,0.0,0.0,0.0,6684.0,1692.0
16-10 21:31:48,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,5946.0,182.0
16-10 21:31:49,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6546.0,182.0
16-10 21:31:50,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,65536.0,6906.0,182.0
16-10 21:31:51,0.0,3221221376.0,0.025,0.0,99.975,0.0,0.0,0.0,0.0,0.0,7806.0,182.0
16-10 21:31:52,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,8995.0,1037.0
16-10 21:31:53,0.0,3221221376.0,0.025,0.0,99.975,0.0,0.0,0.0,0.0,0.0,7446.0,182.0
16-10 21:31:54,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,7026.0,182.0
16-10 21:31:55,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6666.0,182.0
16-10 21:31:56,0.0,3221221376.0,0.125,0.0,99.850,0.025,0.0,0.0,0.0,12288.0,81504.0,1023.0
16-10 21:31:57,0.0,3221221376.0,0.452,1.407,98.040,0.0,0.0,0.101,0.0,0.0,255570676.0,387508.0
16-10 21:31:58,0.0,3221221376.0,28.081,4.108,67.735,0.0,0.0,0.075,0.0,0.0,105258721.0,141651.0
16-10 21:31:59,0.0,3221221376.0,61.952,6.458,31.539,0.0,0.0,0.050,0.0,0.0,223574.0,230016353.0
16-10 21:32:00,0.0,3221221376.0,36.006,2.385,61.609,0.0,0.0,0.0,0.0,0.0,12280.0,24959610.0
16-10 21:32:01,0.0,3221221376.0,15.047,4.933,80.020,0.0,0.0,0.0,0.0,0.0,9160.0,1383139.0
16-10 21:32:02,0.0,3221221376.0,0.426,1.003,98.471,0.0,0.0,0.100,0.0,12288.0,238182256.0,321362.0
16-10 21:32:03,0.0,3221221376.0,3.163,1.255,95.581,0.0,0.0,0.0,0.0,0.0,122643463.0,167216.0
16-10 21:32:04,0.0,3221221376.0,70.445,9.297,20.234,0.0,0.0,0.025,0.0,0.0,81333.0,105138921.0
16-10 21:32:05,0.0,3221221376.0,46.461,3.293,50.220,0.0,0.0,0.026,0.0,0.0,135274.0,149067813.0
16-10 21:32:06,0.0,3221221376.0,17.146,2.118,80.711,0.0,0.0,0.025,0.0,0.0,18064706.0,1415405.0
16-10 21:32:07,0.0,3221221376.0,0.427,1.154,98.369,0.0,0.0,0.050,0.0,0.0,237508214.0,337163.0
16-10 21:32:08,0.0,3221221376.0,35.480,6.239,58.256,0.0,0.0,0.025,0.0,12288.0,105258286.0,142173.0
16-10 21:32:09,0.0,3221221376.0,57.773,7.380,34.720,0.076,0.0,0.051,0.0,0.0,149888.0,251420680.0
16-10 21:32:10,0.0,3221221376.0,34.683,7.918,57.374,0.025,0.0,0.0,0.0,0.0,10686.0,2786276.0
16-10 21:32:11,0.0,3221221376.0,13.158,3.644,83.173,0.0,0.0,0.025,0.0,0.0,129338128.0,1583900.0
16-10 21:32:12,0.0,3221221376.0,0.650,0.925,98.375,0.0,0.0,0.050,0.0,0.0,186496426.0,249190.0
16-10 21:32:13,0.0,3221221376.0,60.336,8.344,31.270,0.0,0.0,0.050,0.0,0.0,45008949.0,30376637.0
16-10 21:32:14,0.0,3221221376.0,46.208,3.134,50.632,0.0,0.0,0.025,0.0,12288.0,192660.0,223930456.0
16-10 21:32:15,0.0,3221221376.0,31.121,3.344,65.510,0.0,0.0,0.025,0.0,4096.0,8604.0,1289632.0
16-10 21:32:16,0.0,3221221376.0,4.681,2.203,92.941,0.0,0.0,0.175,0.0,0.0,255566950.0,416216.0
16-10 21:32:17,0.0,3221221376.0,8.285,1.902,89.762,0.0,0.0,0.050,0.0,0.0,105259729.0,122655.0
16-10 21:32:18,0.0,3221221376.0,66.317,23.856,9.827,0.0,0.0,0.0,0.0,0.0,93124.0,80283114.0
16-10 21:32:19,0.0,3221221376.0,44.980,4.327,50.668,0.0,0.0,0.025,0.0,0.0,94748.0,173924244.0
16-10 21:32:20,0.0,3221221376.0,21.549,2.927,75.524,0.0,0.0,0.0,0.0,16384.0,2143821.0,1393810.0
16-10 21:32:21,0.0,3221221376.0,0.502,1.331,98.117,0.0,0.0,0.050,0.0,0.0,253431159.0,349566.0
16-10 21:32:22,0.0,3221221376.0,32.074,3.978,63.948,0.0,0.0,0.0,0.0,0.0,105259324.0,142269.0
16-10 21:32:23,0.0,3221221376.0,60.102,6.811,33.036,0.0,0.0,0.051,0.0,0.0,217634.0,218310695.0
16-10 21:32:24,0.0,3221221376.0,37.146,1.707,61.146,0.0,0.0,0.0,0.0,0.0,34458.0,37189206.0
16-10 21:32:25,0.0,3221221376.0,11.661,2.650,85.588,0.0,0.0,0.101,0.0,49152.0,175592809.0,339304.0
16-10 21:32:26,0.0,3221221376.0,0.351,0.928,98.621,0.0,0.0,0.100,0.0,0.0,185233046.0,242552.0
16-10 21:32:27,0.0,3221221376.0,71.324,9.768,18.882,0.0,0.0,0.025,0.0,0.0,82246.0,115180051.0
16-10 21:32:28,0.0,3221221376.0,49.263,2.649,48.063,0.0,0.0,0.025,0.0,0.0,199556.0,139027236.0
16-10 21:32:29,0.0,3221221376.0,18.295,1.624,80.081,0.0,0.0,0.0,0.0,0.0,8369.0,1383036.0
16-10 21:32:30,0.0,3221221376.0,0.577,1.429,97.944,0.0,0.0,0.050,0.0,0.0,255567134.0,357707.0
16-10 21:32:31,0.0,3221221376.0,32.959,4.192,62.799,0.0,0.0,0.050,0.0,28672.0,105258996.0,163100.0
16-10 21:32:32,0.0,3221221376.0,59.985,6.356,33.559,0.025,0.0,0.075,0.0,0.0,215869.0,251436918.0
16-10 21:32:33,0.0,3221221376.0,37.940,1.414,60.645,0.0,0.0,0.0,0.0,0.0,12552.0,4067841.0
16-10 21:32:34,0.0,3221221376.0,10.496,2.467,87.012,0.0,0.0,0.025,0.0,0.0,126488541.0,243795.0
16-10 21:32:35,0.0,3221221376.0,0.276,0.701,99.023,0.0,0.0,0.0,0.0,0.0,162134183.0,175911.0
16-10 21:32:36,0.0,3221221376.0,46.983,12.714,40.253,0.050,0.0,0.0,0.0,0.0,72212272.0,96044.0
16-10 21:32:37,0.0,3221221376.0,50.769,16.369,32.738,0.025,0.0,0.099,0.0,12288.0,252644.0,251428978.0
16-10 21:32:38,0.0,3221221376.0,35.981,2.238,61.781,0.0,0.0,0.0,0.0,0.0,8790.0,4064962.0
16-10 21:32:39,0.0,3221221376.0,10.301,3.534,86.065,0.0,0.0,0.100,0.0,0.0,255565728.0,464527.0
16-10 21:32:40,0.0,3221221376.0,5.982,1.652,92.315,0.0,0.0,0.050,0.0,0.0,105259717.0,131799.0
16-10 21:32:41,0.0,3221221376.0,60.798,28.180,11.022,0.0,0.0,0.0,0.0,0.0,36494.0,26605087.0
16-10 21:32:42,0.0,3221221376.0,45.620,2.912,51.444,0.0,0.0,0.025,0.0,0.0,173252.0,227603740.0
16-10 21:32:43,0.0,3221221376.0,25.277,2.600,72.124,0.0,0.0,0.0,0.0,12288.0,8826.0,1285605.0
16-10 21:32:44,0.0,3221221376.0,4.119,2.325,93.328,0.0,0.0,0.227,0.0,0.0,255566817.0,461742.0
16-10 21:32:45,0.0,3221221376.0,18.614,3.753,77.558,0.0,0.0,0.075,0.0,0.0,105258647.0,130930.0
16-10 21:32:46,0.0,3221221376.0,69.179,8.463,22.308,0.0,0.0,0.050,0.0,0.0,203504.0,210410576.0
16-10 21:32:47,0.0,3221221376.0,39.090,1.435,59.451,0.0,0.0,0.025,0.0,0.0,80514.0,43875991.0
16-10 21:32:48,0.0,3221221376.0,14.246,1.566,84.188,0.0,0.0,0.0,0.0,0.0,48428740.0,1458807.0
16-10 21:32:49,0.0,3221221376.0,0.251,0.954,98.620,0.0,0.0,0.176,0.0,12288.0,210718559.0,262786.0
16-10 21:32:50,0.0,3221221376.0,48.848,7.265,43.863,0.0,0.0,0.025,0.0,0.0,101686372.0,169393.0
16-10 21:32:51,0.0,3221221376.0,53.541,3.164,43.245,0.0,0.0,0.050,0.0,0.0,156024.0,251391096.0
16-10 21:32:52,0.0,3221221376.0,33.150,2.048,64.801,0.0,0.0,0.0,0.0,0.0,10008.0,4068264.0
16-10 21:32:53,0.0,3221221376.0,5.901,2.101,91.873,0.0,0.0,0.125,0.0,0.0,247505728.0,466765.0
16-10 21:32:54,0.0,3221221376.0,1.777,1.101,97.072,0.0,0.0,0.050,0.0,0.0,113319300.0,146547.0
16-10 21:32:55,0.0,3221221376.0,58.097,28.102,13.777,0.025,0.0,0.0,0.0,16384.0,9756.0,14896382.0
16-10 21:32:56,0.0,3221221376.0,47.528,3.237,49.184,0.0,0.0,0.050,0.0,0.0,162920.0,239392016.0
16-10 21:32:57,0.0,3221221376.0,33.317,1.640,65.043,0.0,0.0,0.0,0.0,0.0,8826.0,1285473.0
16-10 21:32:58,0.0,3221221376.0,2.652,1.576,95.522,0.0,0.0,0.250,0.0,0.0,255565796.0,447099.0
16-10 21:32:59,0.0,3221221376.0,8.565,2.179,89.206,0.0,0.0,0.050,0.0,0.0,105260377.0,131379.0
16-10 21:33:00,0.0,3221221376.0,72.523,8.165,19.262,0.0,0.0,0.051,0.0,8192.0,154356.0,177904220.0
16-10 21:33:01,0.0,3221221376.0,43.504,1.742,54.730,0.0,0.0,0.024,0.0,12288.0,134770.0,76306771.0
16-10 21:33:02,0.0,3221221376.0,16.988,3.483,79.504,0.0,0.0,0.025,0.0,0.0,87502298.0,1490584.0
16-10 21:33:03,0.0,3221221376.0,0.352,1.005,98.619,0.0,0.0,0.025,0.0,0.0,187305015.0,292672.0
16-10 21:33:04,0.0,3221221376.0,52.192,8.369,39.439,0.0,0.0,0.0,0.0,0.0,86034095.0,17304710.0
16-10 21:33:05,0.0,3221221376.0,52.093,2.707,45.149,0.0,0.0,0.050,0.0,0.0,184009.0,237018887.0
16-10 21:33:06,0.0,3221221376.0,31.491,2.155,66.354,0.0,0.0,0.0,0.0,0.0,9414.0,1292797.0
16-10 21:33:07,0.0,3221221376.0,3.350,1.259,95.264,0.0,0.0,0.126,0.0,12288.0,205749041.0,381273.0
16-10 21:33:08,0.0,3221221376.0,1.830,1.329,96.841,0.0,0.0,0.0,0.0,0.0,155075629.0,211169.0
16-10 21:33:09,0.0,3221221376.0,61.514,24.318,14.144,0.0,0.0,0.025,0.0,0.0,10827.0,17209240.0
16-10 21:33:10,0.0,3221221376.0,46.449,3.260,50.265,0.0,0.0,0.025,0.0,0.0,207850.0,237004098.0
