"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cnm --output /root/tf/dstat.csv",,,,"Date:","17 Oct 2018 22:02:11 CDT"

"system","swap",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","used","free","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
17-10 22:02:11,0.0,3221221376.0,0.213,0.051,99.735,0.000,0.0,0.001,0.0,0.0,1129447424.0,177704960.0,1261125632.0,1.98702034944e+11
17-10 22:02:12,0.0,3221221376.0,5.228,4.852,89.920,0.0,0.0,0.0,6798.0,198.0,1316421632.0,177704960.0,1261248512.0,1.98514937856e+11
17-10 22:02:13,0.0,3221221376.0,3.225,2.0,94.775,0.0,0.0,0.0,22201.0,3356.0,1902219264.0,177704960.0,1261248512.0,1.97929140224e+11
17-10 22:02:14,0.0,3221221376.0,6.200,2.510,91.140,0.0,0.0,0.151,23033441.0,23505960.0,2087964672.0,177709056.0,1261285376.0,1.97743353856e+11
17-10 22:02:15,0.0,3221221376.0,7.053,2.300,90.445,0.0,0.0,0.202,28162211.0,28708749.0,2156957696.0,177709056.0,1261289472.0,1.97674356736e+11
17-10 22:02:16,0.0,3221221376.0,7.109,2.420,90.320,0.0,0.0,0.151,27036955.0,27706937.0,2213134336.0,177709056.0,1261289472.0,1.97618180096e+11
17-10 22:02:17,0.0,3221221376.0,7.289,2.093,90.391,0.0,0.0,0.227,28571984.0,29152019.0,2221379584.0,177709056.0,1261289472.0,1.97609934848e+11
17-10 22:02:18,0.0,3221221376.0,6.599,3.728,89.496,0.0,0.0,0.176,27412211.0,28081792.0,2253418496.0,177709056.0,1261305856.0,1.97577879552e+11
17-10 22:02:19,0.0,3221221376.0,7.040,2.288,90.370,0.0,0.0,0.302,27418420.0,28052499.0,2264580096.0,177713152.0,1261305856.0,1.97566713856e+11
17-10 22:02:20,0.0,3221221376.0,6.954,3.477,89.418,0.0,0.0,0.151,26146718.0,26643959.0,2235396096.0,177713152.0,1261309952.0,1.9759589376e+11
17-10 22:02:21,0.0,3221221376.0,7.242,4.099,88.433,0.0,0.0,0.226,27076140.0,27711736.0,2242465792.0,177713152.0,1261309952.0,1.97588824064e+11
17-10 22:02:22,0.0,3221221376.0,6.935,5.0,87.839,0.0,0.0,0.226,26490424.0,27028078.0,2244395008.0,177713152.0,1261309952.0,1.97586894848e+11
17-10 22:02:23,0.0,3221221376.0,7.807,1.914,90.154,0.0,0.0,0.126,26461136.0,27088276.0,2249809920.0,177713152.0,1261309952.0,1.97581479936e+11
17-10 22:02:24,0.0,3221221376.0,6.598,2.629,90.622,0.0,0.0,0.152,27210803.0,27743466.0,2248826880.0,177717248.0,1261305856.0,1.97582462976e+11
17-10 22:02:25,0.0,3221221376.0,7.596,2.382,89.897,0.0,0.0,0.125,27048807.0,27715644.0,2250039296.0,177717248.0,1261309952.0,1.97581246464e+11
17-10 22:02:26,0.0,3221221376.0,8.292,2.216,89.293,0.0,0.0,0.199,27048736.0,27572435.0,2251255808.0,177717248.0,1261309952.0,1.97580029952e+11
17-10 22:02:27,0.0,3221221376.0,6.651,2.428,90.668,0.0,0.0,0.253,27183907.0,27811461.0,2254131200.0,177717248.0,1261309952.0,1.9757715456e+11
17-10 22:02:28,0.0,3221221376.0,6.638,2.002,91.133,0.0,0.0,0.228,27152926.0,27706543.0,2283626496.0,177717248.0,1261309952.0,1.97547659264e+11
17-10 22:02:29,0.0,3221221376.0,6.859,2.126,90.787,0.0,0.0,0.228,27665839.0,28267955.0,2281013248.0,177717248.0,1261309952.0,1.97550272512e+11
17-10 22:02:30,0.0,3221221376.0,7.026,2.451,90.321,0.0,0.0,0.202,27458978.0,28057428.0,2258108416.0,177717248.0,1261309952.0,1.97573177344e+11
17-10 22:02:31,0.0,3221221376.0,6.984,2.421,90.419,0.0,0.0,0.177,25848054.0,26438028.0,2254528512.0,177717248.0,1261322240.0,1.9757674496e+11
17-10 22:02:32,0.0,3221221376.0,7.640,2.237,89.922,0.0,0.0,0.201,27355154.0,27951394.0,2256355328.0,177717248.0,1261326336.0,1.97574914048e+11
