"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-2.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cnm --output /root/tf/dstat.csv",,,,"Date:","17 Oct 2018 22:02:11 CDT"

"system","swap",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","used","free","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
17-10 22:02:11,0.0,3221221376.0,0.058,0.014,99.928,0.000,0.0,0.000,0.0,0.0,1067753472.0,158175232.0,966004736.0,1.9907837952e+11
17-10 22:02:12,0.0,3221221376.0,3.100,3.300,93.600,0.0,0.0,0.0,5766.0,366.0,1160105984.0,158175232.0,966090752.0,1.98985940992e+11
17-10 22:02:13,0.0,3221221376.0,1.750,0.950,97.300,0.0,0.0,0.0,10124.0,9384.0,1491935232.0,158175232.0,966090752.0,1.98654111744e+11
17-10 22:02:14,0.0,3221221376.0,3.396,1.535,95.044,0.0,0.0,0.025,7955380.0,7767522.0,1605939200.0,158175232.0,966131712.0,1.98540066816e+11
17-10 22:02:15,0.0,3221221376.0,4.553,1.551,93.870,0.0,0.0,0.025,9598909.0,9430479.0,1652883456.0,158175232.0,966131712.0,1.9849312256e+11
17-10 22:02:16,0.0,3221221376.0,3.390,1.113,95.472,0.0,0.0,0.025,9320230.0,9055583.0,1652256768.0,158175232.0,966131712.0,1.98493749248e+11
17-10 22:02:17,0.0,3221221376.0,4.009,1.453,94.488,0.0,0.0,0.050,9940497.0,9772044.0,1679011840.0,158175232.0,966131712.0,1.98466994176e+11
17-10 22:02:18,0.0,3221221376.0,4.384,1.052,94.514,0.0,0.0,0.050,9215723.0,8986554.0,1696608256.0,158175232.0,966135808.0,1.98449393664e+11
17-10 22:02:19,0.0,3221221376.0,4.165,0.953,94.882,0.0,0.0,0.0,9698125.0,9498826.0,1709318144.0,158175232.0,966135808.0,1.98436683776e+11
17-10 22:02:20,0.0,3221221376.0,4.035,1.454,94.461,0.0,0.0,0.050,8839914.0,8645775.0,1710817280.0,158175232.0,966135808.0,1.9843518464e+11
17-10 22:02:21,0.0,3221221376.0,4.436,1.003,94.536,0.0,0.0,0.025,9117018.0,8918797.0,1727819776.0,158175232.0,966135808.0,1.98418182144e+11
17-10 22:02:22,0.0,3221221376.0,4.316,1.405,94.279,0.0,0.0,0.0,8806908.0,8578267.0,1743532032.0,158183424.0,966135808.0,1.98402461696e+11
17-10 22:02:23,0.0,3221221376.0,4.201,3.101,92.673,0.0,0.0,0.025,9013009.0,8817929.0,1715908608.0,158183424.0,966135808.0,1.9843008512e+11
17-10 22:02:24,0.0,3221221376.0,4.237,1.454,94.259,0.0,0.0,0.050,9423954.0,9227782.0,1718898688.0,158183424.0,966135808.0,1.9842709504e+11
17-10 22:02:25,0.0,3221221376.0,4.387,2.131,93.457,0.0,0.0,0.025,9255491.0,9057199.0,1715597312.0,158183424.0,966135808.0,1.98430396416e+11
17-10 22:02:26,0.0,3221221376.0,4.572,0.999,94.379,0.0,0.0,0.050,9118971.0,8922304.0,1749336064.0,158183424.0,966135808.0,1.98396657664e+11
17-10 22:02:27,0.0,3221221376.0,5.049,0.850,94.076,0.0,0.0,0.025,9394140.0,9127888.0,1724448768.0,158183424.0,966135808.0,1.9842154496e+11
17-10 22:02:28,0.0,3221221376.0,4.530,0.926,94.494,0.0,0.0,0.050,9462565.0,9298666.0,1723285504.0,158187520.0,966135808.0,1.98422704128e+11
17-10 22:02:29,0.0,3221221376.0,4.382,1.127,94.467,0.0,0.0,0.025,9221928.0,9023341.0,1738276864.0,158187520.0,966135808.0,1.98407712768e+11
17-10 22:02:30,0.0,3221221376.0,5.233,1.190,93.527,0.0,0.0,0.050,9157203.0,8922945.0,1726861312.0,158187520.0,966135808.0,1.9841912832e+11
17-10 22:02:31,0.0,3221221376.0,4.216,0.828,94.906,0.0,0.0,0.050,8874978.0,8648684.0,1724702720.0,158187520.0,966139904.0,1.98421282816e+11
17-10 22:02:32,0.0,3221221376.0,4.168,0.904,94.853,0.0,0.0,0.075,9529413.0,9365585.0,1724727296.0,158187520.0,966139904.0,1.9842125824e+11
17-10 22:02:33,0.0,3221221376.0,0.776,0.350,98.874,0.0,0.0,0.0,557789.0,520181.0,1064157184.0,158187520.0,966111232.0,1.99081857024e+11
