"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cdn --output /root/tf/dstat.csv",,,,"Date:","16 Oct 2018 19:43:25 CDT"

"system","swap",,"total cpu usage",,,,,,"dsk/total",,"net/total",
"time","used","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
16-10 19:43:25,0.0,3221221376.0,0.173,0.042,99.784,0.000,0.0,0.000,496.635,46725.868,0.0,0.0
16-10 19:43:26,0.0,3221221376.0,5.272,5.922,88.806,0.0,0.0,0.0,0.0,4096.0,7626.0,330.0
16-10 19:43:27,0.0,3221221376.0,3.178,2.002,94.820,0.0,0.0,0.0,0.0,0.0,20532.0,1584.0
16-10 19:43:28,0.0,3221221376.0,4.750,4.245,90.980,0.0,0.0,0.025,0.0,241664.0,1010821.0,1746241.0
16-10 19:43:29,0.0,3221221376.0,5.844,7.053,87.053,0.0,0.0,0.050,0.0,0.0,1051833.0,2000691.0
16-10 19:43:30,0.0,3221221376.0,6.677,3.865,89.458,0.0,0.0,0.0,0.0,0.0,1085811.0,1999164.0
16-10 19:43:31,0.0,3221221376.0,6.400,6.921,86.629,0.0,0.0,0.050,0.0,0.0,1087443.0,2000562.0
16-10 19:43:32,0.0,3221221376.0,6.281,7.683,86.036,0.0,0.0,0.0,0.0,0.0,1013923.0,1863603.0
16-10 19:43:33,0.0,3221221376.0,7.383,5.817,86.751,0.0,0.0,0.050,0.0,258048.0,1054210.0,2067171.0
16-10 19:43:34,0.0,3221221376.0,6.147,5.670,88.184,0.0,0.0,0.0,0.0,0.0,1086316.0,1965120.0
16-10 19:43:35,0.0,3221221376.0,6.124,4.335,89.516,0.0,0.0,0.025,0.0,0.0,1088563.0,2099219.0
16-10 19:43:36,0.0,3221221376.0,5.852,4.012,90.135,0.0,0.0,0.0,0.0,106496.0,1086101.0,2031295.0
16-10 19:43:37,0.0,3221221376.0,6.212,4.427,89.336,0.0,0.0,0.025,0.0,0.0,1087238.0,2100237.0
16-10 19:43:38,0.0,3221221376.0,3.227,2.102,94.671,0.0,0.0,0.0,0.0,270336.0,368925.0,582106.0
