"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-2.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cdn --output /root/tf/dstat.csv",,,,"Date:","16 Oct 2018 19:43:25 CDT"

"system","swap",,"total cpu usage",,,,,,"dsk/total",,"net/total",
"time","used","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
16-10 19:43:25,0.0,3221221376.0,0.020,0.007,99.972,0.000,0.0,0.000,446.970,35336.268,0.0,0.0
16-10 19:43:26,0.0,3221221376.0,3.0,3.550,93.450,0.0,0.0,0.0,0.0,0.0,7386.0,334.0
16-10 19:43:27,0.0,3221221376.0,1.751,0.950,97.299,0.0,0.0,0.0,0.0,0.0,7668.0,4498.0
16-10 19:43:28,0.0,3221221376.0,4.325,4.526,91.149,0.0,0.0,0.0,0.0,0.0,593078.0,338558.0
16-10 19:43:29,0.0,3221221376.0,5.934,5.709,88.358,0.0,0.0,0.0,0.0,229376.0,686450.0,359506.0
16-10 19:43:30,0.0,3221221376.0,5.863,4.911,89.201,0.0,0.0,0.025,0.0,0.0,651656.0,359141.0
16-10 19:43:31,0.0,3221221376.0,6.095,5.167,88.738,0.0,0.0,0.0,0.0,0.0,685249.0,359641.0
16-10 19:43:32,0.0,3221221376.0,5.670,11.440,82.890,0.0,0.0,0.0,0.0,0.0,618084.0,323683.0
16-10 19:43:33,0.0,3221221376.0,6.797,5.622,87.556,0.0,0.0,0.025,0.0,0.0,687281.0,361236.0
16-10 19:43:34,0.0,3221221376.0,6.598,5.299,88.103,0.0,0.0,0.0,0.0,208896.0,686662.0,360536.0
16-10 19:43:35,0.0,3221221376.0,7.256,4.812,87.932,0.0,0.0,0.0,0.0,0.0,685814.0,360393.0
16-10 19:43:36,0.0,3221221376.0,5.887,4.245,89.843,0.0,0.0,0.025,0.0,0.0,718804.0,360344.0
16-10 19:43:37,0.0,3221221376.0,5.778,4.264,89.957,0.0,0.0,0.0,0.0,0.0,685170.0,359025.0
16-10 19:43:38,0.0,3221221376.0,1.947,2.321,95.732,0.0,0.0,0.0,0.0,0.0,214467.0,111934.0
16-10 19:43:39,0.0,3221221376.0,0.300,0.200,99.499,0.0,0.0,0.0,0.0,167936.0,18254.0,9145.0
