"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-1.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cdn --output /root/tf/dstat.csv",,,,"Date:","16 Oct 2018 19:43:27 CDT"

"system","swap",,"total cpu usage",,,,,,"dsk/total",,"net/total",
"time","used","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
16-10 19:43:27,0.0,3221221376.0,0.083,0.017,99.899,0.000,0.0,0.000,3486.873,35571.772,0.0,0.0
16-10 19:43:28,0.0,3221221376.0,3.198,3.972,92.830,0.0,0.0,0.0,0.0,0.0,7266.0,334.0
16-10 19:43:29,0.0,3221221376.0,1.751,0.950,97.299,0.0,0.0,0.0,0.0,0.0,7848.0,4396.0
16-10 19:43:30,0.0,3221221376.0,4.208,4.636,91.156,0.0,0.0,0.0,0.0,0.0,559639.0,336740.0
16-10 19:43:31,0.0,3221221376.0,6.325,5.279,88.396,0.0,0.0,0.0,0.0,192512.0,684883.0,359567.0
16-10 19:43:32,0.0,3221221376.0,6.899,4.882,88.219,0.0,0.0,0.0,0.0,0.0,685205.0,360056.0
16-10 19:43:33,0.0,3221221376.0,6.066,5.336,88.598,0.0,0.0,0.0,0.0,0.0,685585.0,359581.0
16-10 19:43:34,0.0,3221221376.0,4.813,9.498,85.689,0.0,0.0,0.0,0.0,0.0,651356.0,325201.0
16-10 19:43:35,0.0,3221221376.0,6.270,6.245,87.484,0.0,0.0,0.0,0.0,0.0,655933.0,358204.0
16-10 19:43:36,0.0,3221221376.0,6.788,5.440,87.771,0.0,0.0,0.0,0.0,204800.0,685962.0,359592.0
16-10 19:43:37,0.0,3221221376.0,5.974,5.193,88.833,0.0,0.0,0.0,0.0,0.0,685801.0,358864.0
16-10 19:43:38,0.0,3221221376.0,7.109,3.341,89.550,0.0,0.0,0.0,0.0,0.0,685737.0,359362.0
16-10 19:43:39,0.0,3221221376.0,6.454,4.119,89.427,0.0,0.0,0.0,0.0,0.0,685118.0,358705.0
16-10 19:43:40,0.0,3221221376.0,2.284,1.280,96.437,0.0,0.0,0.0,0.0,0.0,247631.0,113224.0
