"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cnm --output /root/tf/dstat.csv",,,,"Date:","17 Oct 2018 23:48:44 CDT"

"system","swap",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","used","free","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
17-10 23:48:44,0.0,3221221376.0,0.219,0.052,99.728,0.000,0.0,0.001,0.0,0.0,1170755584.0,178376704.0,1013215232.0,1.9890796544e+11
17-10 23:48:45,0.0,3221221376.0,5.803,4.302,89.895,0.0,0.0,0.0,9112.0,1802.0,1413369856.0,178376704.0,1013362688.0,1.98665203712e+11
17-10 23:48:46,0.0,3221221376.0,2.476,0.025,97.499,0.0,0.0,0.0,7330.0,66.0,1431511040.0,178376704.0,1013370880.0,1.98647054336e+11
17-10 23:48:47,0.0,3221221376.0,1.627,2.028,96.320,0.025,0.0,0.0,8905.0,1431.0,1451499520.0,178380800.0,1014136832.0,1.98626295808e+11
17-10 23:48:48,0.0,3221221376.0,0.800,1.725,97.475,0.0,0.0,0.0,7630.0,66.0,1511133184.0,178380800.0,1013903360.0,1.98566895616e+11
17-10 23:48:49,0.0,3221221376.0,8.554,1.626,89.795,0.0,0.0,0.025,8116.0,638.0,2240307200.0,178380800.0,1014673408.0,1.97836951552e+11
17-10 23:48:50,0.0,3221221376.0,5.844,1.154,93.002,0.0,0.0,0.0,41943.0,28461586.0,2340618240.0,178380800.0,1014755328.0,1.97736558592e+11
17-10 23:48:51,0.0,3221221376.0,13.236,2.783,83.831,0.0,0.0,0.150,96587.0,332462267.0,2729750528.0,178380800.0,1014755328.0,1.97347426304e+11
17-10 23:48:52,0.0,3221221376.0,72.637,9.577,17.634,0.0,0.0,0.152,133047170.0,47577.0,3656974336.0,178380800.0,1014755328.0,1.96420202496e+11
17-10 23:48:53,0.0,3221221376.0,48.455,10.433,40.964,0.0,0.0,0.148,121220684.0,28689.0,2928959488.0,178380800.0,1014755328.0,1.97148217344e+11
17-10 23:48:54,0.0,3221221376.0,23.051,2.853,74.096,0.0,0.0,0.0,1292261.0,2466.0,2472779776.0,178380800.0,1014755328.0,1.97604397056e+11
17-10 23:48:55,0.0,3221221376.0,9.985,2.867,87.098,0.0,0.0,0.050,171622.0,255557078.0,2794934272.0,178380800.0,1259446272.0,1.97037551616e+11
17-10 23:48:56,0.0,3221221376.0,41.005,4.230,54.715,0.0,0.0,0.050,31661.0,105252538.0,3331620864.0,178380800.0,1259773952.0,1.96500537344e+11
17-10 23:48:57,0.0,3221221376.0,61.245,11.219,27.280,0.0,0.0,0.256,247769701.0,73190.0,3129466880.0,178380800.0,1259773952.0,1.96702691328e+11
17-10 23:48:58,0.0,3221221376.0,37.658,2.502,58.771,0.875,0.0,0.194,7777258.0,3954.0,2996428800.0,178384896.0,1259769856.0,1.96835729408e+11
17-10 23:48:59,0.0,3221221376.0,22.612,4.245,73.017,0.0,0.0,0.126,161818.0,255557033.0,2861240320.0,178384896.0,1259773952.0,1.96970913792e+11
17-10 23:49:00,0.0,3221221376.0,44.955,6.978,47.942,0.025,0.0,0.100,24520.0,105252621.0,3459104768.0,178384896.0,1259941888.0,1.96372881408e+11
17-10 23:49:01,0.0,3221221376.0,58.843,9.354,31.529,0.0,0.0,0.274,251431787.0,63786.0,3113291776.0,178384896.0,1259941888.0,1.967186944e+11
17-10 23:49:02,0.0,3221221376.0,36.084,2.717,61.199,0.0,0.0,0.0,4074310.0,2195.0,2908438528.0,178384896.0,1259941888.0,1.96923547648e+11
17-10 23:49:03,0.0,3221221376.0,21.747,4.505,73.647,0.0,0.0,0.101,160786.0,255558182.0,2990419968.0,178384896.0,1259941888.0,1.96841566208e+11
17-10 23:49:04,0.0,3221221376.0,54.438,7.267,38.245,0.0,0.0,0.050,58139.0,105252538.0,3824312320.0,178384896.0,1260109824.0,1.9600750592e+11
17-10 23:49:05,0.0,3221221376.0,52.358,9.980,37.413,0.025,0.0,0.223,251400615.0,69376.0,3173801984.0,178384896.0,1260109824.0,1.96658016256e+11
17-10 23:49:06,0.0,3221221376.0,32.753,4.387,62.859,0.0,0.0,0.0,4078440.0,1363.0,2949545984.0,178384896.0,1260109824.0,1.96882272256e+11
17-10 23:49:07,0.0,3221221376.0,21.136,4.649,74.089,0.0,0.0,0.126,165512.0,255557498.0,3110502400.0,178384896.0,1260109824.0,1.9672131584e+11
17-10 23:49:08,0.0,3221221376.0,59.214,8.037,32.724,0.0,0.0,0.025,17215232.0,105258560.0,3919360000.0,178388992.0,1260277760.0,1.95912286208e+11
17-10 23:49:09,0.0,3221221376.0,51.768,8.391,39.517,0.0,0.0,0.324,237035346.0,54220.0,3208671232.0,178388992.0,1260277760.0,1.96622974976e+11
17-10 23:49:10,0.0,3221221376.0,32.971,1.604,65.424,0.0,0.0,0.0,1298163.0,462.0,2989727744.0,178388992.0,1260277760.0,1.96841918464e+11
17-10 23:49:11,0.0,3221221376.0,19.879,4.661,75.359,0.0,0.0,0.101,155363.0,255558055.0,3151044608.0,178388992.0,1260281856.0,1.96680597504e+11
17-10 23:49:12,0.0,3221221376.0,61.626,7.901,30.423,0.0,0.0,0.050,24568778.0,105259954.0,3998158848.0,178388992.0,1260453888.0,1.95833311232e+11
17-10 23:49:13,0.0,3221221376.0,49.637,7.506,42.607,0.0,0.0,0.250,229668382.0,47528.0,3231338496.0,178388992.0,1260453888.0,1.96600131584e+11
