"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-2.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cnm --output /root/tf/dstat.csv",,,,"Date:","17 Oct 2018 21:55:48 CDT"

"system","swap",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","used","free","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
17-10 21:55:48,0.0,3221221376.0,0.058,0.014,99.928,0.000,0.0,0.000,0.0,0.0,1065889792.0,158113792.0,965988352.0,1.99080321024e+11
17-10 21:55:49,0.0,3221221376.0,3.274,3.924,92.802,0.0,0.0,0.0,6186.0,366.0,1156722688.0,158113792.0,966008832.0,1.98989467648e+11
17-10 21:55:50,0.0,3221221376.0,1.726,0.976,97.298,0.0,0.0,0.0,9265.0,8835.0,1488334848.0,158113792.0,966008832.0,1.98657855488e+11
17-10 21:55:51,0.0,3221221376.0,5.416,1.897,92.688,0.0,0.0,0.0,2688045.0,2458644.0,1646796800.0,158113792.0,966049792.0,1.98499352576e+11
17-10 21:55:52,0.0,3221221376.0,5.982,1.852,92.165,0.0,0.0,0.0,3231835.0,2961353.0,1666138112.0,158113792.0,966049792.0,1.98480011264e+11
17-10 21:55:53,0.0,3221221376.0,7.173,1.494,91.333,0.0,0.0,0.0,3332721.0,3030518.0,1689440256.0,158121984.0,966049792.0,1.98456700928e+11
17-10 21:55:54,0.0,3221221376.0,5.844,4.816,89.340,0.0,0.0,0.0,2955417.0,2652675.0,1707212800.0,158121984.0,966053888.0,1.98438924288e+11
17-10 21:55:55,0.0,3221221376.0,5.501,2.560,91.888,0.0,0.0,0.051,3333768.0,3063037.0,1713979392.0,158121984.0,966053888.0,1.98432157696e+11
17-10 21:55:56,0.0,3221221376.0,6.429,3.165,90.406,0.0,0.0,0.0,3371583.0,3098309.0,1716715520.0,158121984.0,966053888.0,1.98429421568e+11
17-10 21:55:57,0.0,3221221376.0,5.729,1.439,92.807,0.0,0.0,0.025,3334183.0,2997535.0,1715834880.0,158121984.0,966053888.0,1.98430302208e+11
17-10 21:55:58,0.0,3221221376.0,6.013,2.173,91.814,0.0,0.0,0.0,3160852.0,2859830.0,1720950784.0,158121984.0,966053888.0,1.98425186304e+11
17-10 21:55:59,0.0,3221221376.0,7.888,2.144,89.919,0.0,0.0,0.049,3334175.0,3096254.0,1725837312.0,158130176.0,966053888.0,1.98420291584e+11
17-10 21:56:00,0.0,3221221376.0,7.299,1.490,91.212,0.0,0.0,0.0,3332808.0,3028539.0,1721315328.0,158130176.0,966053888.0,1.98424813568e+11
17-10 21:56:01,0.0,3221221376.0,5.766,1.467,92.767,0.0,0.0,0.0,3332307.0,3029347.0,1718034432.0,158130176.0,966053888.0,1.98428094464e+11
17-10 21:56:02,0.0,3221221376.0,5.170,1.399,93.407,0.0,0.0,0.025,2445031.0,2208888.0,1069498368.0,158130176.0,966057984.0,1.99076626432e+11
17-10 21:56:03,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,4954.0,298.0,1064849408.0,158130176.0,966029312.0,1.99081304064e+11
17-10 21:56:04,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,5074.0,298.0,1064849408.0,158130176.0,966029312.0,1.99081304064e+11
17-10 21:56:05,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,5192.0,310.0,1063399424.0,158138368.0,966029312.0,1.99082745856e+11
