"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cnm --output /root/tf/dstat.csv",,,,"Date:","17 Oct 2018 21:55:48 CDT"

"system","swap",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","used","free","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
17-10 21:55:48,0.0,3221221376.0,0.213,0.051,99.735,0.000,0.0,0.001,0.0,0.0,1132511232.0,177561600.0,1252687872.0,1.98707552256e+11
17-10 21:55:49,0.0,3221221376.0,5.800,6.450,87.750,0.0,0.0,0.0,6866.0,330.0,1312432128.0,177561600.0,1252794368.0,1.98527524864e+11
17-10 21:55:50,0.0,3221221376.0,3.551,1.800,94.649,0.0,0.0,0.0,22424.0,4764.0,1899266048.0,177561600.0,1252794368.0,1.97940690944e+11
17-10 21:55:51,0.0,3221221376.0,5.739,2.769,91.442,0.0,0.0,0.050,7102188.0,7737137.0,2131681280.0,177569792.0,1252835328.0,1.9770822656e+11
17-10 21:55:52,0.0,3221221376.0,6.539,2.440,90.971,0.0,0.0,0.050,8097887.0,8855534.0,2169110528.0,177569792.0,1252835328.0,1.97670797312e+11
17-10 21:55:53,0.0,3221221376.0,7.418,2.423,90.060,0.0,0.0,0.100,8440107.0,9232197.0,2179215360.0,177569792.0,1252843520.0,1.97660684288e+11
17-10 21:55:54,0.0,3221221376.0,6.571,4.640,88.738,0.0,0.0,0.050,7546225.0,8306186.0,2236076032.0,177569792.0,1252855808.0,1.97603811328e+11
17-10 21:55:55,0.0,3221221376.0,6.196,3.479,90.274,0.0,0.0,0.051,8576479.0,9336967.0,2220634112.0,177569792.0,1252855808.0,1.97619253248e+11
17-10 21:55:56,0.0,3221221376.0,6.955,2.428,90.541,0.0,0.0,0.076,8268152.0,9063934.0,2226806784.0,177569792.0,1252855808.0,1.97613080576e+11
17-10 21:55:57,0.0,3221221376.0,8.692,1.734,89.500,0.0,0.0,0.074,8336231.0,9164077.0,2234150912.0,177569792.0,1252855808.0,1.97605736448e+11
17-10 21:55:58,0.0,3221221376.0,6.462,1.774,91.662,0.0,0.0,0.101,8475123.0,9300494.0,2225319936.0,177569792.0,1252855808.0,1.97614567424e+11
17-10 21:55:59,0.0,3221221376.0,6.994,1.836,91.119,0.0,0.0,0.050,8367574.0,9128730.0,2232848384.0,177569792.0,1252855808.0,1.97607038976e+11
17-10 21:56:00,0.0,3221221376.0,6.657,2.017,91.251,0.0,0.0,0.076,8506432.0,9301078.0,2229792768.0,177569792.0,1252855808.0,1.97610094592e+11
17-10 21:56:01,0.0,3221221376.0,6.641,1.869,91.439,0.0,0.0,0.051,8336193.0,9162676.0,2237276160.0,177569792.0,1252864000.0,1.97602603008e+11
17-10 21:56:02,0.0,3221221376.0,6.255,1.780,91.915,0.0,0.0,0.051,7753806.0,8547607.0,2247122944.0,177569792.0,1252868096.0,1.97592752128e+11
17-10 21:56:03,0.0,3221221376.0,2.497,1.160,96.343,0.0,0.0,0.0,5445631.0,5971264.0,2233290752.0,177569792.0,1252876288.0,1.97606576128e+11
17-10 21:56:04,0.0,3221221376.0,0.325,0.250,99.424,0.0,0.0,0.0,248391.0,275924.0,1581465600.0,177569792.0,1252876288.0,1.9825840128e+11
