"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-2.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cnm --output /root/tf/dstat.csv",,,,"Date:","17 Oct 2018 20:36:05 CDT"

"system","swap",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","used","free","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
17-10 20:36:05,0.0,3221221376.0,0.058,0.014,99.928,0.000,0.0,0.000,0.0,0.0,1077821440.0,157642752.0,965586944.0,1.99069261824e+11
17-10 20:36:06,0.0,3221221376.0,3.525,4.425,92.050,0.0,0.0,0.0,4206.0,366.0,1166831616.0,157642752.0,965656576.0,1.98980182016e+11
17-10 20:36:07,0.0,3221221376.0,1.727,0.926,97.347,0.0,0.0,0.0,5028.0,4490.0,1471369216.0,157642752.0,965656576.0,1.98675644416e+11
17-10 20:36:08,0.0,3221221376.0,3.678,3.249,93.073,0.0,0.0,0.0,456454.0,269113.0,1654902784.0,157642752.0,965697536.0,1.98492069888e+11
17-10 20:36:09,0.0,3221221376.0,3.500,4.717,91.783,0.0,0.0,0.0,515753.0,254863.0,1762078720.0,157642752.0,965697536.0,1.98384893952e+11
17-10 20:36:10,0.0,3221221376.0,3.883,5.018,91.099,0.0,0.0,0.0,514237.0,287929.0,1789947904.0,157646848.0,965697536.0,1.98357020672e+11
17-10 20:36:11,0.0,3221221376.0,4.550,5.182,90.268,0.0,0.0,0.0,514378.0,254335.0,1792925696.0,157646848.0,965701632.0,1.98354038784e+11
17-10 20:36:12,0.0,3221221376.0,4.778,3.008,92.214,0.0,0.0,0.0,515398.0,288152.0,1743187968.0,157646848.0,965701632.0,1.98403776512e+11
17-10 20:36:13,0.0,3221221376.0,4.610,4.383,91.008,0.0,0.0,0.0,516601.0,288067.0,1761751040.0,157646848.0,965701632.0,1.9838521344e+11
17-10 20:36:14,0.0,3221221376.0,4.245,3.718,92.037,0.0,0.0,0.0,549952.0,256217.0,1816702976.0,157646848.0,965701632.0,1.98330261504e+11
17-10 20:36:15,0.0,3221221376.0,5.303,3.827,90.870,0.0,0.0,0.0,517219.0,289061.0,1764925440.0,157646848.0,965701632.0,1.9838203904e+11
17-10 20:36:16,0.0,3221221376.0,5.338,3.233,91.429,0.0,0.0,0.0,516254.0,287184.0,1764728832.0,157646848.0,965701632.0,1.98382235648e+11
17-10 20:36:17,0.0,3221221376.0,4.242,3.815,91.943,0.0,0.0,0.0,516165.0,254770.0,1766621184.0,157646848.0,965701632.0,1.98380343296e+11
17-10 20:36:18,0.0,3221221376.0,5.535,4.368,90.072,0.0,0.0,0.025,516384.0,287701.0,1755242496.0,157646848.0,965701632.0,1.98391721984e+11
17-10 20:36:19,0.0,3221221376.0,4.754,4.353,90.893,0.0,0.0,0.0,549039.0,256133.0,1792163840.0,157646848.0,965701632.0,1.9835480064e+11
17-10 20:36:20,0.0,3221221376.0,4.687,3.985,91.328,0.0,0.0,0.0,514755.0,287680.0,1752936448.0,157646848.0,965705728.0,1.98394023936e+11
17-10 20:36:21,0.0,3221221376.0,2.121,1.996,95.883,0.0,0.0,0.0,210549.0,112717.0,1067536384.0,157646848.0,965705728.0,1.99079424e+11
17-10 20:36:22,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,4654.0,298.0,1067360256.0,157646848.0,965677056.0,1.990796288e+11
17-10 20:36:23,0.0,3221221376.0,0.200,0.050,99.750,0.0,0.0,0.0,9307.0,4625.0,1068986368.0,157646848.0,965709824.0,1.9907796992e+11
