"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-3.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cnm --output /root/tf/dstat.csv",,,,"Date:","17 Oct 2018 20:36:08 CDT"

"system","swap",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","used","free","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
17-10 20:36:08,0.0,3221221376.0,0.059,0.013,99.928,0.000,0.0,0.000,0.0,0.0,1080750080.0,162947072.0,965844992.0,1.99060754432e+11
17-10 20:36:09,0.0,3221221376.0,3.299,4.349,92.352,0.0,0.0,0.0,4206.0,366.0,1166602240.0,162947072.0,965902336.0,1.98974844928e+11
17-10 20:36:10,0.0,3221221376.0,1.800,0.950,97.251,0.0,0.0,0.0,5088.0,4490.0,1482993664.0,162955264.0,965902336.0,1.98658445312e+11
17-10 20:36:11,0.0,3221221376.0,3.116,4.179,92.705,0.0,0.0,0.0,456862.0,270998.0,1663905792.0,162955264.0,965943296.0,1.98477492224e+11
17-10 20:36:12,0.0,3221221376.0,3.903,3.803,92.294,0.0,0.0,0.0,481804.0,255502.0,1724252160.0,162955264.0,965943296.0,1.98417145856e+11
17-10 20:36:13,0.0,3221221376.0,4.556,4.807,90.637,0.0,0.0,0.0,514927.0,289964.0,1713713152.0,162955264.0,965943296.0,1.98427684864e+11
17-10 20:36:14,0.0,3221221376.0,4.700,4.725,90.576,0.0,0.0,0.0,513992.0,256732.0,1767530496.0,162955264.0,965947392.0,1.98373863424e+11
17-10 20:36:15,0.0,3221221376.0,5.288,4.989,89.723,0.0,0.0,0.0,516522.0,289692.0,1771044864.0,162955264.0,965947392.0,1.98370349056e+11
17-10 20:36:16,0.0,3221221376.0,5.392,5.117,89.491,0.0,0.0,0.0,516158.0,257309.0,1744547840.0,162963456.0,965947392.0,1.98396837888e+11
17-10 20:36:17,0.0,3221221376.0,4.579,3.899,91.522,0.0,0.0,0.0,516923.0,289233.0,1755303936.0,162963456.0,965947392.0,1.98386081792e+11
17-10 20:36:18,0.0,3221221376.0,4.200,4.024,91.776,0.0,0.0,0.0,516645.0,256699.0,1754767360.0,162963456.0,965947392.0,1.98386618368e+11
17-10 20:36:19,0.0,3221221376.0,5.723,4.006,90.246,0.0,0.0,0.025,517641.0,290222.0,1746092032.0,162963456.0,965947392.0,1.98395293696e+11
17-10 20:36:20,0.0,3221221376.0,4.902,3.552,91.546,0.0,0.0,0.0,516778.0,256723.0,1747779584.0,162963456.0,965947392.0,1.98393606144e+11
17-10 20:36:21,0.0,3221221376.0,3.735,4.365,91.900,0.0,0.0,0.0,516453.0,289484.0,1780621312.0,162963456.0,965947392.0,1.98360764416e+11
17-10 20:36:22,0.0,3221221376.0,4.586,4.261,91.153,0.0,0.0,0.0,515574.0,256610.0,1766428672.0,162967552.0,965947392.0,1.9837495296e+11
17-10 20:36:23,0.0,3221221376.0,4.655,4.530,90.816,0.0,0.0,0.0,515632.0,289523.0,1758142464.0,162967552.0,965951488.0,1.98383235072e+11
17-10 20:36:24,0.0,3221221376.0,3.163,2.441,94.396,0.0,0.0,0.0,312100.0,149012.0,1754865664.0,162967552.0,965951488.0,1.98386511872e+11
17-10 20:36:25,0.0,3221221376.0,0.275,0.350,99.375,0.0,0.0,0.0,5388.0,1898.0,1070215168.0,162967552.0,965922816.0,1.9907119104e+11
17-10 20:36:26,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,5058.0,256.0,1066012672.0,162967552.0,965922816.0,1.99075393536e+11
