"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-1.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cnm --output /root/tf/dstat.csv",,,,"Date:","17 Oct 2018 20:36:06 CDT"

"system","swap",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","used","free","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
17-10 20:36:06,0.0,3221221376.0,0.122,0.024,99.853,0.000,0.0,0.000,0.0,0.0,1243820032.0,214712320.0,2380537856.0,1.97431242752e+11
17-10 20:36:07,0.0,3221221376.0,3.125,3.450,93.425,0.0,0.0,0.0,4206.0,366.0,1334849536.0,214712320.0,2380623872.0,1.97340127232e+11
17-10 20:36:08,0.0,3221221376.0,1.700,1.000,97.299,0.0,0.0,0.0,5148.0,4380.0,1662517248.0,214712320.0,2380623872.0,1.9701245952e+11
17-10 20:36:09,0.0,3221221376.0,4.498,3.198,92.304,0.0,0.0,0.0,456309.0,269283.0,1877970944.0,214712320.0,2380664832.0,1.96796964864e+11
17-10 20:36:10,0.0,3221221376.0,4.902,4.002,91.096,0.0,0.0,0.0,548576.0,290321.0,1917394944.0,214716416.0,2380660736.0,1.96757540864e+11
17-10 20:36:11,0.0,3221221376.0,4.987,3.434,91.579,0.0,0.0,0.0,547723.0,289256.0,1933893632.0,214716416.0,2380664832.0,1.9674103808e+11
17-10 20:36:12,0.0,3221221376.0,5.098,6.416,88.485,0.0,0.0,0.0,480946.0,254522.0,1949356032.0,214716416.0,2380668928.0,1.96725571584e+11
17-10 20:36:13,0.0,3221221376.0,5.843,5.521,88.636,0.0,0.0,0.0,515505.0,288729.0,1924497408.0,214716416.0,2380668928.0,1.96750430208e+11
17-10 20:36:14,0.0,3221221376.0,5.287,3.784,90.930,0.0,0.0,0.0,549218.0,256937.0,1963343872.0,214716416.0,2380668928.0,1.96711583744e+11
17-10 20:36:15,0.0,3221221376.0,5.413,4.714,89.873,0.0,0.0,0.0,515965.0,288838.0,1957253120.0,214716416.0,2380668928.0,1.96717674496e+11
17-10 20:36:16,0.0,3221221376.0,5.346,3.647,91.007,0.0,0.0,0.0,549696.0,289267.0,1917313024.0,214716416.0,2380668928.0,1.96757614592e+11
17-10 20:36:17,0.0,3221221376.0,4.875,3.875,91.250,0.0,0.0,0.0,516815.0,288251.0,1922535424.0,214716416.0,2380668928.0,1.96752392192e+11
17-10 20:36:18,0.0,3221221376.0,5.154,3.586,91.260,0.0,0.0,0.0,515923.0,255824.0,1937362944.0,214716416.0,2380668928.0,1.96737564672e+11
17-10 20:36:19,0.0,3221221376.0,5.090,3.867,91.043,0.0,0.0,0.0,549598.0,289826.0,1945374720.0,214716416.0,2380668928.0,1.96729552896e+11
17-10 20:36:20,0.0,3221221376.0,4.494,3.282,92.199,0.0,0.0,0.025,548703.0,289217.0,1919561728.0,214716416.0,2380668928.0,1.96755365888e+11
17-10 20:36:21,0.0,3221221376.0,4.714,3.536,91.750,0.0,0.0,0.0,515328.0,289108.0,1920614400.0,214716416.0,2380673024.0,1.9675430912e+11
17-10 20:36:22,0.0,3221221376.0,0.978,0.778,98.244,0.0,0.0,0.0,107646.0,41629.0,1238433792.0,214724608.0,2380644352.0,1.97436510208e+11
17-10 20:36:23,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,4446.0,190.0,1236811776.0,214724608.0,2380644352.0,1.97438132224e+11
