"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-2.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cnm --output /root/tf/dstat.csv",,,,"Date:","17 Oct 2018 21:43:17 CDT"

"system","swap",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","used","free","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
17-10 21:43:17,0.0,3221221376.0,0.058,0.014,99.928,0.000,0.0,0.000,0.0,0.0,1069916160.0,157986816.0,965840896.0,1.99076569088e+11
17-10 21:43:18,0.0,3221221376.0,3.251,3.551,93.198,0.0,0.0,0.0,5106.0,366.0,1159614464.0,157986816.0,965926912.0,1.98986784768e+11
17-10 21:43:19,0.0,3221221376.0,1.701,0.976,97.323,0.0,0.0,0.0,6240.0,5110.0,1457074176.0,157986816.0,965926912.0,1.98689325056e+11
17-10 21:43:20,0.0,3221221376.0,0.275,0.075,99.650,0.0,0.0,0.0,13370.0,12940.0,1496981504.0,157990912.0,965922816.0,1.98649417728e+11
17-10 21:43:21,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,4806.0,190.0,1495707648.0,157990912.0,965926912.0,1.98650687488e+11
17-10 21:43:22,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,5226.0,190.0,1494327296.0,157990912.0,965926912.0,1.9865206784e+11
17-10 21:43:23,0.0,3221221376.0,0.025,0.0,99.975,0.0,0.0,0.0,4866.0,190.0,1494073344.0,157990912.0,965926912.0,1.98652321792e+11
17-10 21:43:24,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,5046.0,190.0,1494073344.0,157990912.0,965926912.0,1.98652321792e+11
17-10 21:43:25,0.0,3221221376.0,0.025,0.0,99.975,0.0,0.0,0.0,5166.0,190.0,1494073344.0,157990912.0,965926912.0,1.98652321792e+11
17-10 21:43:26,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,5946.0,244.0,1494065152.0,157999104.0,965926912.0,1.98652321792e+11
17-10 21:43:27,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,5946.0,190.0,1493938176.0,157999104.0,965926912.0,1.98652448768e+11
17-10 21:43:28,0.0,3221221376.0,0.025,0.0,99.975,0.0,0.0,0.0,5586.0,190.0,1493811200.0,157999104.0,965926912.0,1.98652575744e+11
17-10 21:43:29,0.0,3221221376.0,0.025,0.0,99.975,0.0,0.0,0.0,5406.0,190.0,1493811200.0,157999104.0,965926912.0,1.98652575744e+11
17-10 21:43:30,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,5586.0,190.0,1493684224.0,157999104.0,965926912.0,1.9865270272e+11
17-10 21:43:31,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,5166.0,190.0,1493684224.0,157999104.0,965926912.0,1.9865270272e+11
17-10 21:43:32,0.0,3221221376.0,0.025,0.0,99.975,0.0,0.0,0.0,5412.0,322.0,1493680128.0,158003200.0,965926912.0,1.9865270272e+11
17-10 21:43:33,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,6006.0,190.0,1493426176.0,158003200.0,965926912.0,1.98652956672e+11
17-10 21:43:34,0.0,3221221376.0,0.025,0.0,99.975,0.0,0.0,0.0,5706.0,190.0,1493426176.0,158003200.0,965926912.0,1.98652956672e+11
17-10 21:43:35,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,4986.0,190.0,1493426176.0,158003200.0,965926912.0,1.98652956672e+11
17-10 21:43:36,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,5226.0,190.0,1493426176.0,158003200.0,965926912.0,1.98652956672e+11
17-10 21:43:37,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,6186.0,190.0,1493426176.0,158003200.0,965926912.0,1.98652956672e+11
17-10 21:43:38,0.0,3221221376.0,0.0,0.050,99.950,0.0,0.0,0.0,5826.0,190.0,1493417984.0,158011392.0,965926912.0,1.98652956672e+11
