"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cnm --output /root/tf/dstat.csv",,,,"Date:","17 Oct 2018 21:43:17 CDT"

"system","swap",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","used","free","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
17-10 21:43:17,0.0,3221221376.0,0.214,0.051,99.735,0.000,0.0,0.001,0.0,0.0,1140879360.0,177377280.0,1252597760.0,1.9869945856e+11
17-10 21:43:18,0.0,3221221376.0,5.333,4.682,89.985,0.0,0.0,0.0,5906.0,330.0,1321963520.0,177377280.0,1252749312.0,1.98518222848e+11
17-10 21:43:19,0.0,3221221376.0,3.154,1.777,95.069,0.0,0.0,0.0,20378.0,1914.0,1898188800.0,177377280.0,1252749312.0,1.97941997568e+11
17-10 21:43:20,0.0,3221221376.0,1.823,0.599,97.577,0.0,0.0,0.0,30327.0,12136.0,2025738240.0,177377280.0,1252859904.0,1.97814337536e+11
17-10 21:43:21,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,5610.0,378.0,2031915008.0,177385472.0,1252851712.0,1.97808160768e+11
17-10 21:43:22,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,6540.0,648.0,2031226880.0,177385472.0,1252859904.0,1.97808840704e+11
17-10 21:43:23,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,5520.0,288.0,2030645248.0,177385472.0,1252859904.0,1.97809422336e+11
17-10 21:43:24,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,6150.0,656.0,2030518272.0,177385472.0,1252859904.0,1.97809549312e+11
17-10 21:43:25,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,6000.0,468.0,2030645248.0,177385472.0,1252859904.0,1.97809422336e+11
17-10 21:43:26,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,6750.0,1606.0,2030645248.0,177389568.0,1252855808.0,1.97809422336e+11
17-10 21:43:27,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,6450.0,198.0,2030571520.0,177389568.0,1252859904.0,1.97809491968e+11
17-10 21:43:28,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,6210.0,198.0,2030211072.0,177389568.0,1252859904.0,1.97809852416e+11
17-10 21:43:29,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,5910.0,198.0,2030211072.0,177389568.0,1252859904.0,1.97809852416e+11
17-10 21:43:30,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,6566.0,426.0,2030354432.0,177389568.0,1252859904.0,1.97809709056e+11
17-10 21:43:31,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,5610.0,198.0,2030100480.0,177397760.0,1252851712.0,1.97809963008e+11
17-10 21:43:32,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,5910.0,264.0,2029965312.0,177397760.0,1252859904.0,1.97810089984e+11
17-10 21:43:33,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,6576.0,264.0,2029965312.0,177397760.0,1252859904.0,1.97810089984e+11
17-10 21:43:34,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,6090.0,198.0,2029965312.0,177397760.0,1252859904.0,1.97810089984e+11
17-10 21:43:35,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,5610.0,198.0,2029838336.0,177397760.0,1252859904.0,1.9781021696e+11
17-10 21:43:36,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,5610.0,198.0,2029838336.0,177397760.0,1252859904.0,1.9781021696e+11
17-10 21:43:37,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,6690.0,198.0,2029834240.0,177401856.0,1252859904.0,1.9781021696e+11
17-10 21:43:38,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,6390.0,198.0,2029826048.0,177401856.0,1252859904.0,1.97810225152e+11
17-10 21:43:39,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,6210.0,198.0,2029826048.0,177401856.0,1252859904.0,1.97810225152e+11
17-10 21:43:40,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,7290.0,198.0,2029826048.0,177401856.0,1252859904.0,1.97810225152e+11
17-10 21:43:41,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,6090.0,198.0,2029826048.0,177401856.0,1252859904.0,1.97810225152e+11
17-10 21:43:42,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,7050.0,198.0,2029699072.0,177401856.0,1252859904.0,1.97810352128e+11
17-10 21:43:43,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,6810.0,198.0,2029699072.0,177401856.0,1252859904.0,1.97810352128e+11
17-10 21:43:44,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,6390.0,198.0,2029699072.0,177401856.0,1252859904.0,1.97810352128e+11
