"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cdn --output part1_task1.csv",,,,"Date:","16 Oct 2018 12:55:45 CDT"

"system","swap",,"total cpu usage",,,,,,"dsk/total",,"net/total",
"time","used","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
16-10 12:55:45,0.0,3221221376.0,0.179,0.041,99.780,0.000,0.0,0.000,525.448,49274.625,0.0,0.0
16-10 12:55:46,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6132.0,908.0
16-10 12:55:47,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6924.0,770.0
16-10 12:55:48,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,6606.0,436.0
16-10 12:55:49,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,36864.0,7086.0,436.0
16-10 12:55:50,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,6666.0,444.0
16-10 12:55:51,0.0,3221221376.0,0.0,0.025,99.975,0.0,0.0,0.0,0.0,0.0,7224.0,770.0
16-10 12:55:52,0.0,3221221376.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,5844.0,770.0


"Host:","node-0.grp3-asn2.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -ts -cdn --output part1_task1.csv",,,,"Date:","16 Oct 2018 12:58:00 CDT"

"system","swap",,"total cpu usage",,,,,,"dsk/total",,"net/total",
"time","used","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send"
16-10 12:58:00,0.0,3221221376.0,0.179,0.041,99.780,0.000,0.0,0.000,525.280,49262.225,0.0,0.0
16-10 12:58:01,0.0,3221221376.0,0.801,0.451,98.748,0.0,0.0,0.0,0.0,0.0,15222.0,11164.0
16-10 12:58:02,0.0,3221221376.0,0.250,0.050,99.700,0.0,0.0,0.0,0.0,0.0,25584.0,32272.0
16-10 12:58:03,0.0,3221221376.0,2.700,3.900,93.400,0.0,0.0,0.0,0.0,57344.0,8406.0,7483.0
16-10 12:58:04,0.0,3221221376.0,1.926,0.550,97.523,0.0,0.0,0.0,0.0,0.0,5534.0,74.0
16-10 12:58:05,0.0,3221221376.0,3.323,3.248,93.428,0.0,0.0,0.0,0.0,131072.0,6281.0,321.0
16-10 12:58:06,0.0,3221221376.0,5.792,5.943,88.265,0.0,0.0,0.0,0.0,0.0,6486.0,1076.0
16-10 12:58:07,0.0,3221221376.0,5.733,3.068,91.199,0.0,0.0,0.0,0.0,0.0,6420.0,0.0
16-10 12:58:08,0.0,3221221376.0,7.250,4.758,87.992,0.0,0.0,0.0,0.0,0.0,7358.0,980.0
16-10 12:58:09,0.0,3221221376.0,6.707,5.684,87.609,0.0,0.0,0.0,0.0,98304.0,7468.0,1034.0
16-10 12:58:10,0.0,3221221376.0,6.178,4.337,89.486,0.0,0.0,0.0,0.0,0.0,7260.0,0.0
16-10 12:58:11,0.0,3221221376.0,5.535,5.009,89.457,0.0,0.0,0.0,0.0,69632.0,6600.0,0.0
16-10 12:58:12,0.0,3221221376.0,6.615,5.061,88.324,0.0,0.0,0.0,0.0,0.0,5998.0,184.0
16-10 12:58:13,0.0,3221221376.0,6.039,6.264,87.697,0.0,0.0,0.0,0.0,0.0,6674.0,236.0
16-10 12:58:14,0.0,3221221376.0,5.589,4.242,90.170,0.0,0.0,0.0,0.0,57344.0,7080.0,118.0
16-10 12:58:15,0.0,3221221376.0,6.378,4.802,88.819,0.0,0.0,0.0,0.0,0.0,7450.0,466.0
16-10 12:58:16,0.0,3221221376.0,4.629,2.713,92.658,0.0,0.0,0.0,0.0,90112.0,7326.0,828.0
